,id,title,view,label,title_tokens,title_tokens_fdist,title_tokens_WSW,title_normalized,title_tokens_stemmed
0,0,alhamdulillah pekan pertama ramadhan pandemi konsisten membaik,4248,populer,"['alhamdulillah', 'pekan', 'pertama', 'ramadhan', 'pandemi', 'konsisten', 'membaik']",<FreqDist with 7 samples and 7 outcomes>,"['alhamdulillah', 'pekan', 'ramadhan', 'pandemi', 'konsisten', 'membaik']","['alhamdulillah', 'pekan', 'ramadhan', 'pandemi', 'konsisten', 'membaik']","['alhamdulillah', 'pekan', 'ramadhan', 'pandemi', 'konsisten', 'baik']"
1,1,pergi pamit mancing pulang tinggal nama,12852,populer,"['pergi', 'pamit', 'mancing', 'pulang', 'tinggal', 'nama']",<FreqDist with 6 samples and 6 outcomes>,"['pergi', 'pamit', 'mancing', 'pulang', 'tinggal', 'nama']","['pergi', 'pamit', 'mancing', 'pulang', 'tinggal', 'nama']","['pergi', 'pamit', 'mancing', 'pulang', 'tinggal', 'nama']"
2,2,jatim park group kota batu hadirkan semarak liburan imlek,7958,populer,"['jatim', 'park', 'group', 'kota', 'batu', 'hadirkan', 'semarak', 'liburan', 'imlek']",<FreqDist with 9 samples and 9 outcomes>,"['jatim', 'park', 'group', 'kota', 'batu', 'hadirkan', 'semarak', 'liburan', 'imlek']","['jatim', 'park', 'group', 'kota', 'batu', 'hadirkan', 'semarak', 'liburan', 'imlek']","['jatim', 'park', 'group', 'kota', 'batu', 'hadir', 'semarak', 'libur', 'imlek']"
3,3,jalin sinergi tim lemhanas ri kunjungi kampus ma chung,746,populer,"['jalin', 'sinergi', 'tim', 'lemhanas', 'ri', 'kunjungi', 'kampus', 'ma', 'chung']",<FreqDist with 9 samples and 9 outcomes>,"['jalin', 'sinergi', 'tim', 'lemhanas', 'ri', 'kunjungi', 'kampus', 'ma', 'chung']","['jalin', 'sinergi', 'tim', 'lemhanas', 'ri', 'kunjungi', 'kampus', 'ma', 'chung']","['jalin', 'sinergi', 'tim', 'lemhanas', 'ri', 'kunjung', 'kampus', 'ma', 'chung']"
4,4,bersiap ladeni persija arema fc matangkan setpiece,14179,populer,"['bersiap', 'ladeni', 'persija', 'arema', 'fc', 'matangkan', 'setpiece']",<FreqDist with 7 samples and 7 outcomes>,"['ladeni', 'persija', 'arema', 'fc', 'matangkan', 'setpiece']","['ladeni', 'persija', 'arema', 'fc', 'matangkan', 'setpiece']","['laden', 'persija', 'arema', 'fc', 'matang', 'setpiece']"
5,5,pecah rekor bts butter puncaki billboard minggu berturutturut,10457,populer,"['pecah', 'rekor', 'bts', 'butter', 'puncaki', 'billboard', 'minggu', 'berturutturut']",<FreqDist with 8 samples and 8 outcomes>,"['pecah', 'rekor', 'bts', 'butter', 'puncaki', 'billboard', 'minggu', 'berturutturut']","['pecah', 'rekor', 'bts', 'butter', 'puncaki', 'billboard', 'minggu', 'berturutturut']","['pecah', 'rekor', 'bts', 'butter', 'puncak', 'billboard', 'minggu', 'berturutturut']"
6,6,di digitex property knc beri diskon sampai rp juta,12067,populer,"['di', 'digitex', 'property', 'knc', 'beri', 'diskon', 'sampai', 'rp', 'juta']",<FreqDist with 9 samples and 9 outcomes>,"['digitex', 'property', 'knc', 'diskon', 'rp', 'juta']","['digitex', 'property', 'knc', 'diskon', 'rp', 'juta']","['digitex', 'property', 'knc', 'diskon', 'rp', 'juta']"
7,7,pemkot malang alokasikan rp untuk pju baru,9239,populer,"['pemkot', 'malang', 'alokasikan', 'rp', 'untuk', 'pju', 'baru']",<FreqDist with 7 samples and 7 outcomes>,"['pemkot', 'malang', 'alokasikan', 'rp', 'pju']","['pemkot', 'malang', 'alokasikan', 'rp', 'pju']","['pemkot', 'malang', 'alokasi', 'rp', 'pju']"
8,8,tips cod agar tak berakhir dengan cash on duel,6193,populer,"['tips', 'cod', 'agar', 'tak', 'berakhir', 'dengan', 'cash', 'on', 'duel']",<FreqDist with 9 samples and 9 outcomes>,"['tips', 'cod', 'cash', 'on', 'duel']","['tips', 'cod', 'cash', 'on', 'duel']","['tips', 'cod', 'cash', 'on', 'duel']"
9,9,perbaikan jalan vs jalur sepeda di kota malang begini hasilnya,10508,populer,"['perbaikan', 'jalan', 'vs', 'jalur', 'sepeda', 'di', 'kota', 'malang', 'begini', 'hasilnya']",<FreqDist with 10 samples and 10 outcomes>,"['perbaikan', 'jalan', 'vs', 'jalur', 'sepeda', 'kota', 'malang', 'hasilnya']","['perbaikan', 'jalan', 'vs', 'jalur', 'sepeda', 'kota', 'malang', 'hasilnya']","['baik', 'jalan', 'vs', 'jalur', 'sepeda', 'kota', 'malang', 'hasil']"
