id,title,view,label
0,"['alhamdulillah', 'pekan', 'ramadhan', 'pandemi', 'konsisten', 'baik']",4248,populer
1,"['pergi', 'pamit', 'mancing', 'pulang', 'tinggal', 'nama']",12852,populer
2,"['jatim', 'park', 'group', 'kota', 'batu', 'hadir', 'semarak', 'libur', 'imlek']",7958,populer
3,"['jalin', 'sinergi', 'tim', 'lemhanas', 'ri', 'kunjung', 'kampus', 'ma', 'chung']",746,populer
4,"['laden', 'persija', 'arema', 'fc', 'matang', 'setpiece']",14179,populer
5,"['pecah', 'rekor', 'bts', 'butter', 'puncak', 'billboard', 'minggu', 'berturutturut']",10457,populer
6,"['digitex', 'property', 'knc', 'diskon', 'rp', 'juta']",12067,populer
7,"['pemkot', 'malang', 'alokasi', 'rp', 'pju']",9239,populer
8,"['tips', 'cod', 'cash', 'on', 'duel']",6193,populer
9,"['baik', 'jalan', 'vs', 'jalur', 'sepeda', 'kota', 'malang', 'hasil']",10508,populer
10,"['vaksinasi', 'remaja', 'kota', 'batu', 'tuntas', 'persen']",5804,populer
11,"['hujan', 'tani', 'kota', 'batu', 'cegah', 'hasil', 'panen', 'susut']",790,populer
12,"['anjing', 'bulldog', 'lady', 'gaga', 'hilang', 'ketemu']",3920,populer
13,"['akun', 'tiktok', 'bts', 'kena', 'hack', 'gemar', 'langsung']",10948,populer
14,"['viral', 'pria', 'pecah', 'kaca', 'mobil', 'larang', 'mudik']",2115,populer
15,"['polresta', 'malang', 'bekuk', 'predator', 'anak', 'laku', 'latih', 'tari', 'modus']",5652,populer
16,"['sebal', 'dengar', 'sirine', 'pria', 'bantul', 'rusak', 'mobil', 'ambulans']",722,populer
17,"['malang', 'dahlan', 'iskan', 'ingat', 'usaha', 'waspada', 'politik']",2227,populer
18,"['pulih', 'ekonomi', 'bas', 'ecommerce', 'kota', 'malang', 'ganjar', 'prestasi']",6682,populer
19,"['lahan', 'nila', 'rp', 'miliar']",3653,populer
20,"['gempa', 'sr', 'guncang', 'malang', 'raya', 'potensi', 'tsunami']",2385,populer
21,"['komda', 'kipi', 'tangan', 'buta', 'warga', 'malang', 'vaksin']",5001,populer
22,"['wisata', 'air', 'panas', 'cangar', 'kota', 'batu', 'lengkap', 'layan', 'vip']",8844,populer
23,"['janda', 'lahir', 'malang', 'raya']",11499,populer
24,"['selebrasi', 'lomba', 'warna', 'mom', 'and', 'kidz', 'malang', 'sukses']",11193,populer
25,"['minimalisir', 'tular', 'covid', 'polres', 'malang', 'optimal', 'drive', 'thru']",4655,populer
26,"['samsuga', 'mfc', 'ajar', 'isu', 'utama', 'terjun', 'fashion']",2554,populer
27,"['inspirasi', 'busana', 'auto', 'pusat', 'perhati']",2627,populer
28,"['pakar', 'pandemi', 'debat', 'publik', 'efektif', 'tarik', 'calon', 'pilih']",9068,populer
29,"['pemda', 'malang', 'raya', 'genjot', 'serta', 'bpjs', 'ketenagakerjaan']",9252,populer
30,"['lestari', 'tradisi', 'nyadran', 'airlangga', 'ziarah', 'makam', 'keluarga', 'astana', 'oetara']",1336,populer
31,"['ulang', 'yeri', 'red', 'velvet', 'donasi', 'rp', 'juta', 'bayi', 'lantar']",3327,populer
32,"['pandemi', 'sman', 'kota', 'malang', 'cipta', 'gudang', 'inovasi']",9784,populer
33,"['marvel', 'rilis', 'trailer', 'superhero', 'asia', 'shangchi']",12598,populer
34,"['prioritas', 'pemkot', 'malang', 'gapai', 'zona', 'kuning']",9422,populer
35,"['edar', 'gwa', 'razia', 'siswa', 'masker', 'pemkot', 'malang']",13577,populer
36,"['elektronifikasi', 'transaksi', 'pemda', 'dukung', 'baik', 'kelola', 'uang']",8919,populer
37,"['bank', 'syariah', 'indonesia', 'bawa', 'misi', 'pusat', 'ekonomi', 'syariah', 'dunia']",14900,populer
38,"['nekat', 'konvoi', 'hut', 'arema', 'puluh', 'aremania', 'cegat', 'polisi']",8473,populer
39,"['muslim', 'malang', 'raya', 'demo', 'solidaritas', 'palestina']",3479,populer
40,"['cek', 'fakta', 'jokowi', 'pulang', 'kampung', 'larang', 'mudik']",2029,populer
41,"['daftar', 'atur', 'ppdb', 'kota', 'malang']",4307,populer
42,"['gedung', 'runtuh', 'timpa', 'bus', 'sembilan', 'orang', 'tewas']",8228,populer
43,"['digitalisasi', 'sertifikasi', 'halal', 'kunci', 'kembang', 'umkm']",6879,populer
44,"['tim', 'pantau', 'pilkada', 'independen', 'temu', 'baliho', 'nakal']",10578,populer
45,"['tren', 'covid', 'lonjak', 'polinema', 'tetap', 'sistem', 'kuliah', 'hybrid']",8260,populer
46,"['catat', 'besok', 'polresta', 'malang', 'kota', 'gelar', 'operasi', 'zebra']",4453,populer
47,"['liga', 'tunda', 'arema', 'harap', 'jelas', 'subsidi']",11490,populer
48,"['young', 'and', 'movement', 'bangkit', 'ikm', 'milenial', 'kota', 'malang']",1607,populer
49,"['sumber', 'air', 'torong', 'park', 'wisata']",7472,populer
50,"['musda', 'ppni', 'bahas', 'sejahtera', 'awat']",8238,populer
51,"['mtsn', 'malang', 'resmi', 'gedung', 'ma', 'had']",7044,populer
52,"['hamil', 'puasa', 'jawab']",8695,populer
53,"['raya', 'masyarakat', 'jepang']",10933,populer
54,"['pemkot', 'malang', 'usul', 'tambah', 'kuota', 'guru', 'pppk']",3368,populer
55,"['bri', 'peduli', 'bantu', 'kelola', 'sampah', 'padu', 'edukasi', 'lingkung', 'bersih']",2150,populer
56,"['panas', 'jelang', 'hut', 'bri', 'gelar', 'sayembara', 'desain', 'logo']",13784,populer
57,"['covid', 'update']",13916,populer
58,"['duh', 'salur', 'drainase', 'sarang', 'bangun', 'liar']",10431,populer
59,"['paslon', 'independen', 'lapor', 'komisioner', 'kpu', 'dkpp']",13235,populer
60,"['dimensi', 'wajib', 'asai', 'influencer', 'muslimah', 'catat']",8606,populer
61,"['menara', 'garling', 'benda', 'sejarah', 'kota', 'malang', 'cagar', 'budaya']",11200,populer
62,"['sengketa', 'milik', 'sardo', 'luas']",6520,populer
63,"['raya', 'skateboarding', 'day', 'seluncur', 'gelar', 'atraksi', 'matos']",11458,populer
64,"['jalan', 'basuki', 'rahmat', 'tutup', 'total', 'jawab']",2958,populer
65,"['konsisten', 'daya', 'zakat', 'airlangga', 'raih', 'harga', 'baznas', 'award']",11662,populer
66,"['lathifah', 'suara', 'muslimat', 'fatayat', 'ladub', 'nomor']",6035,populer
67,"['malang', 'plaza', 'tutup', 'dagang', 'handphone', 'jual', 'pinggir', 'jalan']",10326,populer
68,"['agen', 'brilink', 'agen', 'bank', 'dorong', 'inklusi', 'uang', 'indonesia']",10360,populer
69,"['selamat', 'trotoar', 'kota', 'malang']",12373,populer
70,"['lindung', 'asuransi', 'milenial', 'wajib', 'fakta']",3717,populer
71,"['insipirasi', 'giat', 'hilang', 'stress', 'ramah', 'kantong']",14107,populer
72,"['bts', 'raih', 'nominasi', 'grammy', 'awards', 'sejarah']",11335,populer
73,"['wujud', 'program', 'juta', 'rumah', 'kadin', 'kerjasama', 'perintah']",12991,populer
74,"['satreskrim', 'polresta', 'malang', 'periksa', 'saksi', 'pungli', 'makam', 'covid']",4952,populer
75,"['himpun', 'dana', 'janji', 'cuan', 'oknum', 'guru', 'tangkap', 'polisi']",15000,populer
76,"['bahan', 'alami', 'hilang', 'komedo', 'bandel']",1491,populer
77,"['gojek', 'target', 'zero', 'emissions', 'zero', 'waste', 'zero', 'barriers']",14985,populer
78,"['unira', 'malang', 'kuat', 'pilar', 'cetak', 'mahasiswa', 'kompetitif']",4106,populer
79,"['besok', 'calon', 'jabat', 'pemkot', 'batu', 'jalan', 'uji', 'gagas', 'wawancara']",6492,populer
80,"['pasca', 'bunuh', 'rumah', 'kosong', 'gondanglegi', 'angker']",738,populer
81,"['lini', 'singo', 'edan', 'rawan', 'kena', 'hukum', 'akumulasi', 'kartu']",839,populer
82,"['lambat', 'laju', 'covid', 'mahasiswa', 'um', 'gelar', 'riset', 'lintas', 'studi']",9715,populer
83,"['walhi', 'kritisi', 'ranperda', 'konservasi', 'lingkung', 'rth', 'kota', 'batu']",9891,populer
84,"['kuasa', 'afghanistan', 'talib', 'balas', 'dendam']",11542,populer
85,"['sembuh', 'pasien', 'covid', 'malang', 'lebih', 'persen', 'mayoritas', 'jalan', 'isoman']",2819,populer
86,"['unisma', 'harap', 'pimpin', 'nu', 'lokomotif', 'ubah']",9294,populer
87,"['sanusi', 'janji', 'jalan', 'desa', 'muluslus']",14932,populer
88,"['pmm', 'umm', 'kelompok', 'gelombang', 'edukasi', 'iptek', 'pa', 'nurul', 'hidayah', 'junrejo']",824,populer
89,"['perban', 'syariah', 'uin', 'malang', 'favorit', 'calon', 'maba', 'jalur', 'span', 'ptkin']",1730,populer
90,"['menko', 'airlangga', 'bijak', 'mandatori', 'untung', 'tani', 'sawit']",13896,populer
91,"['klaster', 'hajat', 'warga', 'sumbermanjing', 'wetan', 'malang', 'positif', 'covid']",7748,populer
92,"['guru', 'kota', 'batu', 'tolak', 'vaksin', 'kena', 'sanksi']",6981,populer
93,"['kipp', 'ingat', 'paslon', 'pilbup', 'malang', 'taat', 'atur', 'kampanye']",14110,populer
94,"['sma', 'dempo', 'malang', 'buka', 'daftar', 'ppdb']",883,populer
95,"['ppkm', 'mikro', 'kota', 'malang', 'warga', 'diri', 'posko']",3240,populer
96,"['libur', 'nataru', 'wali', 'kota', 'batu', 'ancam', 'tutup', 'usaha', 'langgar', 'prokes']",6955,populer
97,"['pemkot', 'malang', 'kerah', 'vaksinator', 'puskesmas']",2868,populer
98,"['gopay', 'bank', 'jago', 'hadir', 'mudah', 'akses', 'perban', 'digital']",13269,populer
99,"['uak', 'bisnis', 'hitam', 'jual', 'dokumen', 'covid', 'jelang', 'mudik', 'lebaran']",8107,populer
100,"['covid', 'landai', 'wajib', 'pajak', 'dongkrak', 'drastis']",7339,populer
101,"['nyawa', 'warga', 'kota', 'batu', 'rengut', 'covid']",13724,populer
102,"['kabar', 'gembira', 'lur', 'landai', 'pasien', 'covid', 'isoter', 'skb', 'turun']",4132,populer
103,"['virus', 'covid', 'serang', 'hakim', 'adil', 'bas', 'sidang', 'ikut', 'tunda']",4818,populer
